,SMILES,BDE
33-2-rhi-cf3.log,C[P]1(C)c2cccc3c2C2(CC3)CCc3cccc(c32)[P](C)(C)[Rh@SP1]1C(F)(F)F,70.3
9-2-rhi-cf3.log,C[P]1(C)c2cscc2[P](C)(C)[Rh@SP1]1C(F)(F)F,70.3
29-2-rhi-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2CCCC4)[P](C)(C)[Rh@SP1]1C(F)(F)F)CCCC3,70.2
3-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)CC[P]1(C1CCCCC1)C1CCCCC1,70.2
49-5-rhi-cf3.log,FC(F)(F)[Rh@SP2]1N2C(c3ccccc3)=COC2=C2OC=C(c3ccccc3)N21,70
50-4-rhi-cf3.log,COC1=CO[C]2N1[Rh@SP3](C(F)(F)F)N1[C](OC=C1OC)C2(C)C,70
53-2-rhi-cf3.log,FC(F)(F)[Rh].FC(F)(F)c1coc(-c2ccccc2)n1,70
25-2-rhi-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C)(C)[Rh@SP2](C(F)(F)F)[P]2(C)C,69.9
57-3-rhi-cf3.log,CC(C)(C)N1N=CN2CN3C=NN(C(C)(C)C)[C]3[Rh@SP3](C(F)(F)F)[C]21,69.9
53-5-rhi-cf3.log,FC(F)(F)[Rh].c1ccc(-c2coc(-c3ccccc3)n2)cc1,69.8
53-1-rhi-cf3.log,Cc1coc(-c2ccccc2)n1.FC(F)(F)[Rh],69.7
7-4-rhi-cf3.log,CN1CC(C)(C)O[P](C2CCCCC2)(C2CCCCC2)[Rh@SP3](C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,69.7
24-2-rhi-cf3.log,C[P]1(C)c2ccccc2-c2ccccc2[P](C)(C)[Rh@SP3]1C(F)(F)F,69.6
12-2-rhi-cf3.log,CC1(C)OC2=C(O1)[P](C)(C)[Rh@SP2](C(F)(F)F)[P]2(C)C,69.5
34-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(C1CCCCC1)C1CCCCC1,69.5
26-2-rhi-cf3.log,C[P]1(C)c2cccc3c2-c2c(cccc2[P](C)(C)[Rh@SP3]1C(F)(F)F)OCO3,69.4
28-2-rhi-cf3.log,C[P]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P](C)(C)[Rh@SP3]1C(F)(F)F,69.4
18-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)[C@@H]2CCC[C@@H](C2)[P]1(C1CCCCC1)C1CCCCC1,69.3
32-2-rhi-cf3.log,C[P]1(C)O[C@@H]2CCCC23CCC[C@H]3O[P](C)(C)[Rh@SP3]1C(F)(F)F,69.3
39-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cc3ccc2CCc2ccc(c(c2)[P](C(C)(C)C)(C(C)(C)C)[Rh]1C(F)(F)F)CC3,69.1
19-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](C2CCCCC2)(C2CCCCC2)C[C@H]2CCCC[C@@H]2C[P]1(C1CCCCC1)C1CCCCC1,69
34-1-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[P](c2ccccc2)(c2ccccc2)[C@@H]2[C@@H]([C@@H]3C=C[C@H]2C3)[P]1(c1ccccc1)c1ccccc1,68.9
40-1-rhi-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P@@]3(c4ccccc4)[C@@]4([CH]C=CC=C4)[Rh@TB13]3(C(F)(F)F)[P](c3ccccc3)(c3ccccc3)c3ccccc3[C@H]12,68.9
57-4-rhi-cf3.log,FC(F)(F)[Rh@SP2]1[C]2N(C=NN2c2ccccc2)CN2C=NN(c3ccccc3)[C]21,68.9
19-1-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](c2ccccc2)(c2ccccc2)C[C@H]2CCCC[C@@H]2C[P]1(c1ccccc1)c1ccccc1,68.8
4-1-rhi-cf3.log,C[C@H]1[C@H](C)[P](c2ccccc2)(c2ccccc2)[Rh@SP3](C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,68.8
37-1-rhi-cf3.log,C[C@H]1c2ccccc2[P@@]2(c3ccccc3)N1CCN1[C@@H](C)c3ccccc3[P@]1(c1ccccc1)[Rh@SP3]2C(F)(F)F,68.7
52-2-rhi-cf3.log,FC(F)(F)C1=COC2=c3ccccc3=C3OC=C(C(F)(F)F)N3[Rh@SP2](C(F)(F)F)N12,68.7
11-2-rhi-cf3.log,C[P]1(C)C2=C(C(=O)N(c3ccccc3)C2=O)[P](C)(C)[Rh@SP1]1C(F)(F)F,68.6
27-4-rhi-cf3.log,FC(F)(F)[Rh@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P]1(C1CCCCC1)C1CCCCC1)OCCO3,68.6
39-2-rhi-cf3.log,C[P]1(C)c2cc3ccc2CCc2ccc(c(c2)[P](C)(C)[Rh@SP1]1C(F)(F)F)CC3,68.6
43-3-rhi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2c(sc3ccccc23)[C]2OCCN2[Rh@SP3]1C(F)(F)F,68.6
