,SMILES,BDE
56-1-coii-cf3.log,CN1C=CN2CN3C=CN(C)C3=[Co@SP2](C(F)(F)F)(C(F)(F)F)[C]12,66.2
56-3-coii-cf3.log,CC(C)(C)N1C=CN2CN3C=CN(C(C)(C)C)C3=[Co@SP1](C(F)(F)F)(C(F)(F)F)[C]21,66.2
16-1-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)c2cccnc2[P]1(c1ccccc1)c1ccccc1,66.1
16-4-coii-cf3.log,FC(F)(F)[Co@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)c2cccnc2[P]1(C1CCCCC1)C1CCCCC1,66.1
28-2-coii-cf3.log,C[P]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,66.1
25-2-coii-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C)(C)[Co@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,66
50-2-coii-cf3.log,CC1(C)[C]2OC=C(C(F)(F)F)N2[Co@SP2](C(F)(F)F)(C(F)(F)F)N2[C]1OC=C2C(F)(F)F,66
18-2-coii-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Co@SP3]1(C(F)(F)F)C(F)(F)F,65.9
4-4-coii-cf3.log,C[C@H]1[C@H](C)[P](C2CCCCC2)(C2CCCCC2)[Co@SP2](C(F)(F)F)(C(F)(F)F)[P]1(C1CCCCC1)C1CCCCC1,65.9
11-1-coii-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](c1ccccc1)(c1ccccc1)[Co@SP1](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,65.8
17-2-coii-cf3.log,C[P]1(C)Cc2ccccc2C[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,65.8
35-2-coii-cf3.log,C[P]1(C)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P](C)(C)[Co@SP1]1(C(F)(F)F)C(F)(F)F,65.8
52-5-coii-cf3.log,FC(F)(F)[Co@SP3]1(C(F)(F)F)N2C(c3ccccc3)=COC2=c2ccccc2=C2OC=C(c3ccccc3)N21,65.8
