,SMILES,BDE
39-4-agi-cf3.log,FC(F)(F)[Ag]1[P](C2CCCCC2)(C2CCCCC2)c2cc3ccc2CCc2ccc(c(c2)[P]1(C1CCCCC1)C1CCCCC1)CC3,69.5
1-3-agi-cf3.log,CC(C)(C)P(C[P]([Ag]C(F)(F)F)(C(C)(C)C)C(C)(C)C)C(C)(C)C,69.4
1-4-agi-cf3.log,FC(F)(F)[Ag][P](CP(C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1,69.4
16-1-agi-cf3.log,FC(F)(F)[Ag][P](c1ccccc1)(c1ccccc1)c1ncccc1P(c1ccccc1)c1ccccc1,69.4
42-1-agi-cf3.log,Nc1cccc2c1[C@]1(CC2)CCc2cccc(C[P]([Ag]C(F)(F)F)(c3ccccc3)c3ccccc3)c21,69.4
10-2-agi-cf3.log,CP(C)c1c[nH]cc1[P](C)(C)[Ag]C(F)(F)F,69.3
12-3-agi-cf3.log,CC1(C)OC2=C(O1)[P](C(C)(C)C)(C(C)(C)C)[Ag](C(F)(F)F)[P]2(C(C)(C)C)C(C)(C)C,69.3
37-3-agi-cf3.log,C[C@H]1c2ccccc2[P@@]2(C(C)(C)C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C(C)(C)C)[Ag]2C(F)(F)F,69.3
64-4-agi-cf3.log,FC(F)(F)[Ag][C]1N(c2ccccc2)CCN1c1ccccc1,69.3
14-1-agi-cf3.log,FC(F)(F)[Ag@SP2]1[P](c2ccccc2)(c2ccccc2)C[C@H]2C[C@H](CN2)[P]1(c1ccccc1)c1ccccc1,69.2
14-2-agi-cf3.log,CP(C)[C@H]1CN[C@@H](C[P](C)(C)[Ag]C(F)(F)F)C1,69.2
16-2-agi-cf3.log,C[P]1(C)c2cccnc2[P](C)(C)[Ag@SP1]1C(F)(F)F,69.2
35-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,69.2
5-2-agi-cf3.log,CP(C)CCC[P](C)(C)[Ag]C(F)(F)F,69.2
15-2-agi-cf3.log,CP(C)c1ccccc1[P](C)(C)[Ag]C(F)(F)F,69.1
41-3-agi-cf3.log,CC(C)(C)[P]([Ag]C(F)(F)F)(c1cccc2c1[C@@]1(CCc3cccc(N)c31)CC2)C(C)(C)C,69.1
42-5-agi-cf3.log,Nc1cccc2c1[C@]1(CC2)CCc2cccc(C[P]([Ag]C(F)(F)F)(n3cccc3)n3cccc3)c21,69.1
18-1-agi-cf3.log,FC(F)(F)[Ag]1[P](c2ccccc2)(c2ccccc2)[C@@H]2CCC[C@@H](C2)[P]1(c1ccccc1)c1ccccc1,69
21-3-agi-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2Oc2ccccc2[P](C(C)(C)C)(C(C)(C)C)[Ag]1C(F)(F)F,69
35-4-agi-cf3.log,FC(F)(F)[Ag]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P]1(C1CCCCC1)C1CCCCC1,69
21-4-agi-cf3.log,FC(F)(F)[Ag]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2Oc2ccccc2[P]1(C1CCCCC1)C1CCCCC1,68.9
26-4-agi-cf3.log,FC(F)(F)[Ag@SP1]1[P](C2CCCCC2)(C2CCCCC2)c2cccc3c2-c2c(cccc2[P]1(C1CCCCC1)C1CCCCC1)OCO3,68.9
3-1-agi-cf3.log,FC(F)(F)[Ag][P](CCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,68.9
31-1-agi-cf3.log,FC(F)(F)[Ag]1[P](c2ccccc2)(c2ccccc2)[C@@H]2CCCC23CCC[C@H]3[P]1(c1ccccc1)c1ccccc1,68.8
45-3-agi-cf3.log,CC(C)(C)[P](O[C@@H]1CCc2ccc(-c3ccccc3)nc21)([Ag]C(F)(F)F)C(C)(C)C,68.8
