,SMILES,BDE
35-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2cccc3c2[C@H]2CC[C@@H]3c3cccc(c32)[P]1(n1cccc1)n1cccc1,72.7
3-5-cui-cf3.log,FC(F)(F)[Cu@SP2]1[P](n2cccc2)(n2cccc2)CC[P]1(n1cccc1)n1cccc1,81.6
36-1-cui-cf3.log,FC(F)(F)[Cu@@]12N([CH]c3ccccc3[P]1(c1ccccc1)c1ccccc1)[C@@H]1CCCC[C@H]1/N=C/c1ccccc1[P]2(c1ccccc1)c1ccccc1,54.3
36-2-cui-cf3.log,C[P]1(C)c2ccccc2[CH]N2[C@@H]3CCCC[C@H]3/N=C/c3ccccc3[P](C)(C)[Cu@]21C(F)(F)F,55.8
36-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2ccccc2/C=N/[C@@H]2CCCC[C@H]2/N=C/c2ccccc2[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,51.6
36-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2ccccc2/C=N/[C@@H]2CCCC[C@H]2/N=C/c2ccccc2[P]1(C1CCCCC1)C1CCCCC1,55.4
37-1-cui-cf3.log,C[C@H]1c2ccccc2[P@@]2(c3ccccc3)N1CCN1[C@@H](C)c3ccccc3[P@]1(c1ccccc1)[Cu]2C(F)(F)F,80.8
37-2-cui-cf3.log,C[C@H]1c2ccccc2[P@@]2(C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C)[Cu]2C(F)(F)F,77
37-3-cui-cf3.log,C[C@H]1c2ccccc2[P@@]2(C(C)(C)C)N1CCN1[C@@H](C)c3ccccc3[P@]1(C(C)(C)C)[Cu]2C(F)(F)F,81.9
37-4-cui-cf3.log,C[C@H]1c2ccccc2[P@@]2(C3CCCCC3)N1CCN1[C@@H](C)c3ccccc3[P@]1(C1CCCCC1)[Cu]2C(F)(F)F,77.2
37-5-cui-cf3.log,C[C@H]1c2ccccc2[P@@]2(n3cccc3)N1CCN1[C@@H](C)c3ccccc3[P@]1(n1cccc1)[Cu]2C(F)(F)F,80.2
38-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(c1ccccc1)c1ccccc1,81.5
38-2-cui-cf3.log,C[P]1(C)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P](C)(C)[Cu@SP3]1C(F)(F)F,78.6
38-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F,81.1
38-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(C1CCCCC1)C1CCCCC1,83.8
38-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P]1(n1cccc1)n1cccc1,79
39-1-cui-cf3.log,FC(F)(F)[Cu]1[P](c2ccccc2)(c2ccccc2)c2cc3ccc2CCc2ccc(c(c2)[P]1(c1ccccc1)c1ccccc1)CC3,79.2
39-2-cui-cf3.log,C[P]1(C)c2cc3ccc2CCc2ccc(c(c2)[P](C)(C)[Cu]1C(F)(F)F)CC3,79.5
39-3-cui-cf3.log,CC(C)(C)[P]1(C(C)(C)C)c2cc3ccc2CCc2ccc(c(c2)[P](C(C)(C)C)(C(C)(C)C)[Cu]1C(F)(F)F)CC3,76.6
39-4-cui-cf3.log,FC(F)(F)[Cu]1[P](C2CCCCC2)(C2CCCCC2)c2cc3ccc2CCc2ccc(c(c2)[P]1(C1CCCCC1)C1CCCCC1)CC3,76
39-5-cui-cf3.log,FC(F)(F)[Cu]1[P](n2cccc2)(n2cccc2)c2cc3ccc2CCc2ccc(c(c2)[P]1(n1cccc1)n1cccc1)CC3,76.2
40-1-cui-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P](c3ccccc3)(c3ccccc3)[Cu](C(F)(F)F)[P](c3ccccc3)(c3ccccc3)c3ccccc3[C@H]12,78.9
40-2-cui-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P](C)(C)[Cu](C(F)(F)F)[P](C)(C)c3ccccc3[C@H]12,81.3
40-3-cui-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@@H](c2ccccc2P(C(C)(C)C)C(C)(C)C)[C@@H]1C1=CC=C[CH][C@]1([Cu]C(F)(F)F)P(C(C)(C)C)C(C)(C)C,73.1
40-4-cui-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P](C3CCCCC3)(C3CCCCC3)[Cu](C(F)(F)F)[P](C3CCCCC3)(C3CCCCC3)c3ccccc3[C@H]12,77.8
40-5-cui-cf3.log,CCOC(=O)[C@@H]1[C@@H](C(=O)OCC)[C@H]2c3ccccc3[P](n3cccc3)(n3cccc3)[Cu](C(F)(F)F)[P](n3cccc3)(n3cccc3)c3ccccc3[C@H]12,77.6
41-1-cui-cf3.log,Nc1cccc2c1[C@]1(CC2)CCc2cccc([P]([Cu]C(F)(F)F)(c3ccccc3)c3ccccc3)c21,81.4
41-2-cui-cf3.log,C[P](C)([Cu]C(F)(F)F)c1cccc2c1[C@@]1(CCc3cccc(N)c31)CC2,82
41-3-cui-cf3.log,CC(C)(C)[P]1(c2cccc3c2[C@@]2(CCc4cccc(N->[Cu@SP3]1C(F)(F)F)c42)CC3)C(C)(C)C,78.7
41-4-cui-cf3.log,N[C@@]12C=CC=C3CC[C@]4(CCc5cccc(c54)[P](C4CCCCC4)(C4CCCCC4)[Cu]1C(F)(F)F)[C]32,80.6
41-5-cui-cf3.log,N[C@]12[CH]C=CC3=C1[C@]1(CC3)CCc3cccc(c31)[P](n1cccc1)(n1cccc1)[Cu]2C(F)(F)F,79.9
