,SMILES,BDE
5-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CCC[P]1(c1ccccc1)c1ccccc1,55.6
28-2-niii-cf3.log,C[P]1(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)[P](C)(C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,55.5
46-1-niii-cf3.log,CC1=CC2=C3C=C(C)C=CN3[Ni@SP2](C(F)(F)F)(C(F)(F)F)N2C=C1,55.5
46-3-niii-cf3.log,FC1=CC2=C3C=C(F)C=CN3[Ni@SP1](C(F)(F)F)(C(F)(F)F)N2C=C1,55.5
18-2-niii-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,55.4
24-2-niii-cf3.log,C[P]1(C)c2ccccc2-c2ccccc2[P](C)(C)[Ni@SP3]1(C(F)(F)F)C(F)(F)F,55.4
41-1-niii-cf3.log,FC(F)(F)[Ni@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(c1ccccc1)c1ccccc1)c32)C(F)(F)F,55.4
8-4-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C2=CCC=C2[P]1(C1CCCCC1)C1CCCCC1,55.4
25-2-niii-cf3.log,Cc1cccc2c1-c1c(C)cccc1[P](C)(C)[Ni@SP2](C(F)(F)F)(C(F)(F)F)[P]2(C)C,55.3
51-3-niii-cf3.log,FC1=CO[C]2c3cccc4cc5cccc(c5cc34)[C]3OC=C(F)N3[Ni@SP3](C(F)(F)F)(C(F)(F)F)N21,55.3
1-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[P]1(c1ccccc1)c1ccccc1,55
11-1-niii-cf3.log,O=C1C2=C(C(=O)N1c1ccccc1)[P](c1ccccc1)(c1ccccc1)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,55
4-1-niii-cf3.log,C[C@H]1[C@H](C)[P](c2ccccc2)(c2ccccc2)[Ni@SP2](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,55
38-2-niii-cf3.log,C[P]1(C)[C@H]2COCO[C@@H]2[C@H]2OCOC[C@@H]2[P](C)(C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,54.9
6-1-niii-cf3.log,C[C@H]1C[C@H](C)[P](c2ccccc2)(c2ccccc2)[Ni@SP1](C(F)(F)F)(C(F)(F)F)[P]1(c1ccccc1)c1ccccc1,54.9
31-2-niii-cf3.log,C[P]1(C)[C@@H]2CCCC23CCC[C@H]3[P](C)(C)[Ni@SP1]1(C(F)(F)F)C(F)(F)F,54.8
8-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C2=CCC=C2[P]1(c1ccccc1)c1ccccc1,54.8
48-2-niii-cf3.log,FC(F)(F)C1=c2ccc3c4c2N(C=C1)[Ni@SP1](C(F)(F)F)(C(F)(F)F)N4C=CC=3C(F)(F)F,54.7
12-1-niii-cf3.log,CC1(C)OC2=C(O1)[P](c1ccccc1)(c1ccccc1)[Ni@SP2](C(F)(F)F)(C(F)(F)F)[P]2(c1ccccc1)c1ccccc1,54.6
20-1-niii-cf3.log,FC(F)(F)[Ni@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@@H]2COCC[C@@H]2[P]1(c1ccccc1)c1ccccc1,54.6
