,SMILES,BDE
3-1-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1,74.1
41-5-ptii-cf3.log,FC(F)(F)[Pt@SP1]1(<-Nc2cccc3c2[C@]2(CC3)CCc3cccc([P]1(n1cccc1)n1cccc1)c32)C(F)(F)F,74.1
1-1-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)C[P]1(c1ccccc1)c1ccccc1,74
18-2-ptii-cf3.log,C[P]1(C)[C@@H]2CCC[C@@H](C2)[P](C)(C)[Pt@SP3]1(C(F)(F)F)C(F)(F)F,74
43-1-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(c1ccccc1)c1ccccc1,74
43-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)N2CCO[C]2c2sc3ccccc3c2[P]1(C1CCCCC1)C1CCCCC1,74
27-2-ptii-cf3.log,C[P]1(C)c2ccc3c(c2-c2c(ccc4c2OCCO4)[P](C)(C)[Pt@SP3]1(C(F)(F)F)C(F)(F)F)OCCO3,73.9
8-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)C2=CCC=C2[P]1(C1CCCCC1)C1CCCCC1,73.8
3-4-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](C2CCCCC2)(C2CCCCC2)CC[P]1(C1CCCCC1)C1CCCCC1,73.6
20-1-ptii-cf3.log,FC(F)(F)[Pt@SP2]1(C(F)(F)F)[P](c2ccccc2)(c2ccccc2)[C@@H]2COCC[C@@H]2[P]1(c1ccccc1)c1ccccc1,73.5
31-2-ptii-cf3.log,C[P]1(C)[C@@H]2CCCC23CCC[C@H]3[P](C)(C)[Pt@SP1]1(C(F)(F)F)C(F)(F)F,73.4
49-2-ptii-cf3.log,FC(F)(F)C1=COC2=C3OC=C(C(F)(F)F)N3[Pt@SP2](C(F)(F)F)(C(F)(F)F)N12,73.4
